date,d2m,t2m,ssr,str,tp,sp
7/8/2014,292.8483971,300.9706758,1.70E+07,-5006225.332,3.165104503,91460.7578
7/9/2014,292.6130671,301.1868547,1.67E+07,-5056805.564,4.345838447,91481.61554
7/10/2014,293.0437486,301.3485132,1.67E+07,-4975280.023,3.521885302,91508.47316
7/11/2014,293.7865242,301.1830826,1.55E+07,-4541277.787,4.845423584,91480.33578
7/12/2014,294.4959499,301.0758479,1.55E+07,-4208787.052,5.959309705,91451.19634
7/13/2014,295.1563327,299.9653913,1.34E+07,-3495811.635,10.43935113,91537.36934
7/14/2014,295.3819836,299.0371177,1.21E+07,-2906887.247,10.78867367,91467.1406
7/15/2014,295.1827267,298.8829106,1.16E+07,-2638316.21,11.58079657,91413.88082
7/16/2014,294.8826921,298.0438149,9360898.891,-2218143.449,13.20449488,91423.9859
7/17/2014,295.1328801,297.8285867,1.00E+07,-2223060.154,17.46874373,91371.37128
7/18/2014,295.1672352,297.154267,7785918.882,-1802571.936,25.23495631,91292.15747
7/19/2014,294.9329717,297.2426781,7897671.438,-1899743.072,15.24726527,91301.46624
7/20/2014,294.9175277,297.7171411,9950252.031,-2380502.918,14.24472243,91368.63238
7/21/2014,294.774303,298.0462076,1.13E+07,-2636553.951,12.05811405,91328.54456
7/22/2014,294.5536045,297.7387291,1.02E+07,-2447407.289,10.32885059,91372.44839
7/23/2014,294.0963455,297.6038927,1.04E+07,-2341577.247,9.321738053,91447.24815
7/24/2014,293.7518665,296.8208495,9215277.969,-2224923.867,8.435401073,91619.96051
7/25/2014,294.2094857,297.1605001,1.07E+07,-2483591.599,7.290514996,91788.71948
7/26/2014,294.9431281,297.8447482,1.26E+07,-2850254.777,7.671023246,91913.11335
7/27/2014,295.1641721,297.8039112,1.22E+07,-2840519,11.19131103,91851.84737
7/28/2014,294.9409376,297.5206292,1.12E+07,-2578918.895,11.91434759,91638.17502
7/29/2014,294.9087189,297.6500993,1.19E+07,-2744443.019,8.768024857,91616.66692
7/30/2014,295.1817292,298.1817161,1.36E+07,-2934873.93,7.534898316,91657.70873
7/31/2014,295.2811717,298.1567616,1.25E+07,-2694248.081,8.465817674,91624.75952
8/1/2014,295.4996474,298.1862297,1.20E+07,-2642707.203,8.086024972,91539.13039
8/2/2014,295.4249975,298.2061708,1.23E+07,-2655806.86,9.924320239,91437.18407
8/3/2014,295.2387374,297.5144267,9572679.127,-2089808.234,13.71892076,91349.21248
8/4/2014,294.8905032,296.9855602,8174442.172,-1912013.406,20.21313483,91319.52011
