date,tp,t2m,ssr,str,sp
10/17/1983,17.64,275.6479405,9026690.544,-4719991.549,70532.78257
10/18/1983,4.92,274.8487731,11349056.15,-5694325.102,70704.33269
10/19/1983,1.44,274.4093775,11979284.31,-6365948.113,70838.51663
10/20/1983,0.26,273.9343417,13840572.72,-7189629.175,70864.38998
10/21/1983,1.48,275.2617549,13765742.6,-7010872.061,70865.86124
10/22/1983,2.3,275.7707931,12370567.69,-6339787.526,70944.03942
10/23/1983,1.63,275.6820589,12895237.22,-6444053.402,71009.28987
10/24/1983,2.16,276.2942206,13213643.18,-6360758.9,70780.49558
10/25/1983,8.15,274.4382743,11026796.36,-5435007.826,70692.18544
10/26/1983,3.32,273.9568373,11823302.84,-6244166.84,70913.23102
10/27/1983,1.15,272.3712723,12305943.54,-6882815.229,71057.21311
10/28/1983,0.43,271.89553,12984177.26,-7384048.899,70946.11449
10/29/1983,0.75,270.739869,13200587.07,-7376750.508,70980.2229
10/30/1983,0.51,269.516913,12780396.3,-7435429.011,71173.36187
10/31/1983,0.1,270.5471965,13581473.82,-7979493.058,71329.99994
11/1/1983,0.13,272.0196952,13962196.52,-7964195.522,71189.60031
11/2/1983,1.15,272.4032817,12973374.32,-6928549.968,70855.35243
11/3/1983,2.69,269.642453,11469116.89,-6683889.406,70901.51063
11/4/1983,0.71,270.9009595,12589257.47,-7384133.977,70938.52544
11/5/1983,0.63,271.5183891,12404179.52,-7057707.009,71016.17745
11/6/1983,0.46,271.9469397,12441927.1,-7190232.41,70988.03952
11/7/1983,0.24,271.2302492,13053900.6,-7717660.531,70758.18864
11/8/1983,0.7,270.3342613,12483073.9,-7571671.363,70792.29205
11/9/1983,0.27,270.1315834,12768314.45,-7846764.685,70813.20798
11/10/1983,0.17,270.2798071,12783168.97,-7961052.997,70647.91645
11/11/1983,0.39,271.3639896,12035453.67,-7508367.016,70664.25908
11/12/1983,1.18,272.6889558,11944073.39,-6719362.616,70737.74539
11/13/1983,1.37,272.0748447,11239077.84,-6675927.473,70888.49711
11/14/1983,1.12,271.0600275,11511713.29,-7114778.993,70888.10959
11/15/1983,0.72,270.6717212,11733165.47,-7375732.581,70967.45637
11/16/1983,0.69,270.8952617,11531182.08,-7158482.858,71031.24131
