date,d2m,t2m,ssr,str,tp,sp
7/21/1986,282.7367773,286.6247913,1.85E+07,-5805211.441,7.410232862,70494.36456
7/22/1986,282.9026149,286.3534132,1.64E+07,-5224818.515,12.38574305,70518.77779
7/23/1986,283.299415,286.1547627,1.46E+07,-4331937.586,12.80764982,70581.90294
7/24/1986,283.6058893,285.1836338,1.10E+07,-3157243.517,17.13989547,70572.26627
7/25/1986,283.3156983,285.1756623,1.32E+07,-4064404.853,14.91305518,70602.93301
7/26/1986,282.5268684,285.3899908,1.51E+07,-5197167.665,8.351980647,70702.42465
7/27/1986,282.5245266,286.0325098,1.76E+07,-5581508.565,7.175704545,70796.14679
7/28/1986,283.0302409,286.2101894,1.65E+07,-5263492.227,7.062906483,70741.52708
7/29/1986,283.4938338,286.2111367,1.51E+07,-4542940.99,8.919896469,70694.39661
7/30/1986,283.768754,285.6467616,1.18E+07,-3755666,17.06106447,70758.1657
7/31/1986,283.4156804,285.466388,1.29E+07,-3937857.415,12.77378246,70797.14687
8/1/1986,283.0966518,284.6186806,1.09E+07,-3307403.89,21.24626575,70659.85199
8/2/1986,279.5861312,283.8498029,1.08E+07,-4772326.712,23.38890395,70656.71289
8/3/1986,279.1666145,285.3596947,1.77E+07,-6573803.261,2.623323247,70589.51773
8/4/1986,280.296248,285.9264569,2.00E+07,-7033354.087,3.978958448,70542.41481
8/5/1986,280.9417896,286.0763926,1.93E+07,-6835679.285,3.442540528,70561.55157
8/6/1986,281.5617163,287.0918153,2.10E+07,-7006931.791,2.304948226,70630.0733
8/7/1986,282.6372387,287.6552183,2.04E+07,-6438897.712,3.516392262,70705.75053
8/8/1986,283.8633412,287.2387865,1.79E+07,-5795294.712,4.722732102,70724.09134
8/9/1986,283.7215234,287.710869,1.87E+07,-6023631.307,2.812155227,70693.25175
8/10/1986,283.9028919,288.091594,1.90E+07,-6028713.362,3.063475873,70640.94602
8/11/1986,284.1526444,287.4961095,1.73E+07,-5552012.95,7.416157453,70611.35276
8/12/1986,283.0639382,286.6384494,1.77E+07,-5802345.901,7.907255357,70538.25796
8/13/1986,282.4274083,286.2036852,1.71E+07,-5463505.853,7.627511577,70510.51579
8/14/1986,282.8727296,286.0518969,1.55E+07,-4929701.087,8.73224449,70534.63151
8/15/1986,283.7077246,286.3399259,1.56E+07,-4682931.564,8.225997811,70632.97715
8/16/1986,283.8347714,286.1946055,1.45E+07,-4317829.023,11.26585055,70627.48789
8/17/1986,283.4930969,285.6561261,1.22E+07,-3823298.549,14.25693184,70559.43806
8/18/1986,281.9669662,286.0297688,1.36E+07,-4764825.023,9.994059515,70624.09876
8/19/1986,282.1487566,286.2569508,1.59E+07,-5337622.085,10.81393281,70735.92647
8/20/1986,283.0940486,285.9805334,1.55E+07,-4976050.953,11.03527874,70645.46385
8/21/1986,283.6136078,285.6507223,1.35E+07,-3903285.337,14.73588818,70412.25724
8/22/1986,283.6307657,285.564421,1.20E+07,-3550732.676,18.376931,70444.11173
8/23/1986,283.8124196,285.4010426,1.04E+07,-3197353.682,20.62859173,70640.35621
8/24/1986,283.8343178,285.6348477,1.19E+07,-3501995.779,14.99594711,70615.86397
8/25/1986,283.6166748,285.534963,1.23E+07,-3713009.995,16.09684291,70502.21032
8/26/1986,283.5046319,285.4951828,1.18E+07,-3806459.625,15.9816464,70480.31806
8/27/1986,283.3924978,285.7721539,1.35E+07,-4443353.193,9.94281129,70489.09859
8/28/1986,283.2455331,286.2538581,1.57E+07,-4998650.584,6.209290603,70581.45334
8/29/1986,282.9776652,286.0844529,1.51E+07,-4918912.378,9.047179589,70605.04352
8/30/1986,283.1499244,285.9627929,1.42E+07,-4729814.375,12.25701981,70536.72592
8/31/1986,283.2402692,285.7098211,1.36E+07,-4536191.805,11.73510041,70597.76607
9/1/1986,283.2971909,285.9369306,1.42E+07,-4686946.067,9.870997962,70705.79472
9/2/1986,283.29429,285.9133816,1.35E+07,-4363631.912,13.30980976,70586.58884
9/3/1986,281.5248732,285.2771196,1.26E+07,-4959449.823,14.19147316,70527.7212
9/4/1986,282.148454,285.1374647,1.44E+07,-5280195.711,8.624225006,70536.91064
9/5/1986,282.7928114,285.5533187,1.52E+07,-4942184.913,8.05340662,70578.04513
9/6/1986,282.6492007,285.3494972,1.44E+07,-5111132.625,7.32661072,70567.37604
9/7/1986,282.4171351,285.5411489,1.61E+07,-5461029.802,7.968929257,70455.37581
9/8/1986,281.8409696,285.0568391,1.47E+07,-5220301.115,12.33478397,70476.83525
9/9/1986,281.634806,284.6658471,1.29E+07,-4768859.353,12.8562733,70589.07033
9/10/1986,282.2014841,284.5415821,1.21E+07,-4198659.712,17.87359518,70733.74472
9/11/1986,282.1143591,283.8581281,9366850.875,-3326633.218,25.4824849,70836.41999
9/12/1986,282.045462,283.9820343,1.13E+07,-3567981.08,14.99750325,70807.20212
9/13/1986,281.7741649,283.857538,1.17E+07,-3940650.918,12.8903328,70761.50985
9/14/1986,281.7742393,283.8878541,1.21E+07,-4056316.407,10.96559199,70786.90686
9/15/1986,281.6311264,283.9354299,1.23E+07,-4241037.864,10.08018422,70803.42107
9/16/1986,281.0785495,283.8617871,1.25E+07,-4590402.237,10.52693056,70854.05167
9/17/1986,280.3205023,283.914325,1.34E+07,-5042205.171,9.956086843,70836.9593
9/18/1986,279.988821,283.747922,1.40E+07,-5599330.755,8.187989354,70874.85945
9/19/1986,280.1960678,283.7388508,1.53E+07,-5724510.526,6.171645619,70913.33326
9/20/1986,280.6091817,283.1877581,1.36E+07,-5007773.361,6.18625187,70929.78409
9/21/1986,280.173527,283.2227429,1.42E+07,-5110793.722,3.7899744,70983.87715
9/22/1986,279.6651819,282.8239495,1.42E+07,-5156453.049,6.000794806,71050.48638
9/23/1986,279.1028511,282.0609755,1.26E+07,-4927073.214,7.917581495,71059.82787
9/24/1986,278.8836399,282.0624353,1.31E+07,-5004982.789,7.11542299,70969.72274
9/25/1986,279.0963969,282.0373019,1.30E+07,-4839878.845,6.773564651,70931.57712
9/26/1986,279.0367686,281.713154,1.16E+07,-4543084.659,6.854520745,71007.77797
9/27/1986,278.979846,281.2336585,8961122.047,-3694688.97,10.11254275,71109.06821
9/28/1986,278.6575856,281.2261633,1.08E+07,-4351928.526,5.354448005,70967.57752
9/29/1986,277.6903004,281.0245747,1.23E+07,-5023573.01,5.092201248,70753.41876
9/30/1986,278.1827785,281.1473559,1.21E+07,-4825525.637,9.315840804,70760.06748
10/1/1986,278.0699792,280.9414229,1.09E+07,-4562496.822,12.93721644,70833.06149
10/2/1986,277.6124005,280.6202355,1.16E+07,-4800925.279,10.2192316,70909.20053
10/3/1986,277.365371,280.2312872,1.17E+07,-5000431.443,7.35097902,71078.56437
10/4/1986,276.3646677,280.1099884,1.32E+07,-5839441.544,2.161474813,71111.43802
10/5/1986,276.7993061,280.9681646,1.25E+07,-4954724.805,9.229608157,71043.55145
10/6/1986,277.6602581,279.9500741,7264240.238,-3503088.599,21.1956988,70921.25483
10/7/1986,278.0283601,280.0795916,7769018.792,-3325550.122,23.48025241,70763.89058
10/8/1986,277.6687495,279.4415326,6570002.136,-3263514.508,21.42895832,70560.14165
10/9/1986,275.8638118,278.4761633,8709228.901,-4369623.002,6.33865268,70599.97012
10/10/1986,274.7555779,277.8865917,1.04E+07,-4956563.453,4.351415949,70792.56348
10/11/1986,274.8836004,277.7459553,1.02E+07,-4537924.635,4.443786646,70923.89736
10/12/1986,275.1713809,277.938038,1.05E+07,-4835255.315,4.204639608,70973.01971
10/13/1986,274.9544884,277.6130934,1.02E+07,-4684421.853,5.31000412,70903.48807
10/14/1986,275.0454216,277.2928131,9371413.2,-4311926.106,9.291729447,70744.96378
10/15/1986,274.3733072,276.7259038,8538071.439,-4090887.395,10.0397197,70697.31308
10/16/1986,273.6404271,276.2030769,8565460.508,-4347365.245,6.747176452,70705.74806
10/17/1986,273.1002304,276.4538078,9480356.563,-4961375.446,3.499995335,70783.05633
10/18/1986,273.6088144,276.9249955,1.02E+07,-5218309.773,2.610582701,70929.10458
10/19/1986,272.7447746,277.0988552,1.14E+07,-6002354.094,0.836433352,71046.56594
10/20/1986,273.0483188,277.4617031,1.16E+07,-5838345.163,1.6255357,70942.35425
10/21/1986,272.7903076,277.2261712,1.18E+07,-6240365.75,1.118106788,70929.22793
10/22/1986,271.9448636,276.8524748,1.25E+07,-6528230.131,1.017585232,70971.54738
10/23/1986,271.6004772,276.8613282,1.28E+07,-6914560.402,0.49635555,70877.93996
10/24/1986,271.4584168,276.9795048,1.34E+07,-7423611.103,0.286690501,70867.6059
10/25/1986,270.6506619,276.3582869,1.33E+07,-7295386.788,0.319880416,70969.15468
10/26/1986,269.3601521,275.7055469,1.29E+07,-7380280.823,0.639032531,70954.09991
10/27/1986,267.0024742,274.6623663,1.39E+07,-8303548.435,0.186492499,70844.51194
10/28/1986,269.3096216,275.9374911,1.34E+07,-7142791.376,0.866948775,70820.90839
10/29/1986,271.1222273,276.2599816,1.18E+07,-6190083.319,1.692930345,70946.4457
10/30/1986,271.0487129,276.4232786,1.19E+07,-6372889.652,1.058659322,70934.46038
10/31/1986,270.3382883,276.2018525,1.11E+07,-6399356.488,1.238832786,70818.17699
11/1/1986,270.2184229,276.1478245,1.19E+07,-6580744.53,0.774311922,70779.04192
11/2/1986,270.6349788,276.3225957,1.11E+07,-6362224.242,0.961954031,70792.2705
11/3/1986,270.752019,276.5952054,1.17E+07,-6484016.756,0.905858904,70831.63315
11/4/1986,273.467185,277.6354572,1.07E+07,-5080885.315,2.676654164,70779.884
11/5/1986,272.6122711,276.8391968,8772725.759,-4764371.515,4.168618644,70737.15896
11/6/1986,269.4314533,274.9017253,9470166.042,-6074063.191,1.906135529,70849.08761
11/7/1986,268.391007,275.2706729,1.16E+07,-7143713.964,0.627829525,70893.67375
11/8/1986,270.107334,276.106607,1.13E+07,-6524756.222,0.743629635,70812.50851
11/9/1986,271.6036006,275.9359114,8753891.483,-5097533.187,10.31577921,70428.83525
11/10/1986,269.7662513,274.3874587,8568707.614,-5367989.586,5.090538226,70440.64851
11/11/1986,266.6016608,272.4015107,9738853.09,-6651838.822,1.309475173,70673.60647
11/12/1986,266.6074382,272.2418744,1.01E+07,-6325701.371,1.257709857,70645.91518
11/13/1986,266.0595626,272.1995787,1.07E+07,-6805842.958,0.402984447,70767.17858
11/14/1986,266.5686923,273.1971734,1.10E+07,-7120542.898,0.255777917,70925.66858
11/15/1986,267.2562485,274.0953972,1.10E+07,-6792046.51,0.27200025,70896.84665
11/16/1986,268.444637,274.2917024,1.05E+07,-6313700.965,0.751723249,70669.64994
11/17/1986,269.0212376,273.9802088,9196766.438,-5556510.206,1.851525842,70578.75394
11/18/1986,265.9766458,273.0727889,9637756.637,-7086229.833,0.566265944,70949.49732
11/19/1986,265.3303245,273.5970549,1.15E+07,-7666867.525,0.14750022,70998.77791
11/20/1986,267.6429534,274.8219035,1.05E+07,-6815337.415,0.277875009,70907.46333
11/21/1986,268.5866991,274.853656,1.02E+07,-6496113.314,0.477218874,70919.06343
11/22/1986,269.2805461,275.1870703,1.04E+07,-6244030.115,0.548743686,70879.91986
11/23/1986,267.8494326,274.5530572,9784242.082,-6517383.905,0.547819043,70922.41891
11/24/1986,268.6482362,274.6196139,1.02E+07,-6418176.25,0.790411506,70960.53602
11/25/1986,268.9803956,274.3079444,9826637.243,-6256383.052,1.627014778,70993.39186
11/26/1986,268.8136168,274.063204,9761220.903,-6198946.602,1.074040952,71043.50863
11/27/1986,268.9301075,273.9767558,9286323.843,-5911481.495,1.320703104,70988.86937
11/28/1986,268.6071776,273.7209727,9188254.251,-6051015.483,1.616077255,70970.61889
11/29/1986,267.7597892,273.4992575,1.00E+07,-6756368.204,0.726063546,71029.96794
11/30/1986,266.2529488,272.6065266,9955120.553,-6840508.962,1.668107452,70831.16301
12/1/1986,263.1830021,271.8777416,1.06E+07,-8037635.733,0.165969695,71037.48596
12/2/1986,262.6571457,272.5202669,1.11E+07,-8445818.612,0.003652454,71195.88052
12/3/1986,262.6558461,272.7762065,1.13E+07,-8553287.103,0.003923503,71222.18578
12/4/1986,262.6779864,272.7079625,1.13E+07,-8397528.386,0.008617583,71009.09407
12/5/1986,263.4965683,272.9014949,1.10E+07,-7905515.058,0.082200814,70881.41289
12/6/1986,263.1341217,273.1162173,1.10E+07,-8121938.694,0.031243242,71097.54942
12/7/1986,264.0447811,273.67034,1.11E+07,-7605738.873,0.100303598,71082.21023
12/8/1986,267.1253042,273.8067936,1.01E+07,-6471235.838,0.55673267,70965.68628
12/9/1986,268.0007994,273.3683997,9558336.191,-6169031.851,1.210457974,70857.86562
12/10/1986,266.5520937,272.1563762,9377348.081,-6358693.59,1.508799643,70697.04068
12/11/1986,264.9557144,270.6855213,9189454.144,-6449131.06,2.091799827,70489.64413
12/12/1986,264.0676355,270.1942827,8619184.753,-6260453.313,1.533445425,70556.38505
12/13/1986,265.3653097,271.1468948,8741247.034,-5876048.436,1.393847898,70712.51953
12/14/1986,266.4129204,270.9736214,7570200.622,-4974178.189,4.018726942,70574.14839
12/15/1986,266.5554707,271.2687473,7250420.802,-5075364.338,3.00909915,70526.10162
12/16/1986,265.6878869,271.2508422,8035095.171,-5728505.024,1.88440945,70565.69533
12/17/1986,265.119599,271.1803152,7756983.867,-5658604.842,1.031476756,70798.01275
12/18/1986,267.069983,271.928482,8223867.865,-5192542.891,3.281067676,70813.44441
12/19/1986,265.4053191,270.4295782,6998650.927,-5284629.777,2.047116586,70798.97107
12/20/1986,263.45154,268.5635497,7692197.676,-5716740.077,1.997215947,70688.90781
12/21/1986,261.4381264,267.5064867,7692236.33,-5999072.484,1.060008975,70838.54696
12/22/1986,262.579396,268.7483466,7929752.804,-5976913.804,0.638261194,70703.78309
12/23/1986,262.5541822,267.8873516,7931852.029,-5830236.852,1.141471632,70650.85172
12/24/1986,261.8886204,267.7660416,8410948.781,-6306354.103,0.576768626,70773.36515
12/25/1986,261.9286651,268.1408281,7780779.159,-5719887.541,1.033608274,70740.91155
12/26/1986,258.6980109,266.586893,8892575.108,-7521605.013,0.248686174,70974.74002
12/27/1986,258.8756987,267.2510587,9297456.81,-7060790.725,0.111148075,71000.69861
